second,rps,err_rate
1,61.00,0.00
2,62.00,0.00
3,65.00,0.00
4,60.00,0.00
5,59.00,0.00
6,56.00,5.36
7,61.00,0.00
8,55.00,0.00
9,62.00,0.00
10,60.00,0.00
11,59.00,0.00
12,53.00,0.00
13,59.00,0.00
14,57.00,0.00
15,58.00,0.00
16,59.00,0.00
17,58.00,0.00
18,56.00,0.00
19,56.00,0.00
20,61.00,0.00
21,56.00,0.00
22,53.00,0.00
23,59.00,0.00
24,50.00,0.00
25,42.00,0.00
26,44.00,0.00
27,42.00,0.00
28,41.00,0.00
29,29.00,0.00
30,40.00,0.00
31,33.00,0.00
32,26.00,0.00
33,24.00,0.00
34,42.00,0.00
35,34.00,0.00
36,27.00,0.00
37,32.00,0.00
38,33.00,0.00
39,40.00,0.00
40,27.00,0.00
41,28.00,0.00
42,42.00,0.00
43,39.00,0.00
44,38.00,0.00
45,25.00,0.00
46,40.00,0.00
47,38.00,0.00
48,39.00,0.00
49,41.00,0.00
50,24.00,0.00
51,29.00,0.00
52,38.00,10.53
53,33.00,6.06
54,41.00,0.00
55,40.00,0.00
56,24.00,0.00
57,35.00,0.00
58,47.00,4.26
59,40.00,0.00
60,22.00,0.00
