second,rps,err_rate
1,16.00,0.00
2,16.00,0.00
3,12.00,8.33
4,19.00,42.11
5,11.00,54.55
6,12.00,50.00
7,12.00,75.00
8,16.00,62.50
9,25.00,16.00
10,7.00,0.00
11,24.00,0.00
12,1.00,0.00
13,32.00,50.00
14,7.00,0.00
15,16.00,50.00
16,20.00,80.00
17,15.00,20.00
18,23.00,21.74
19,11.00,36.36
20,36.00,83.33
21,18.00,50.00
22,12.00,91.67
23,20.00,40.00
24,14.00,64.29
25,25.00,24.00
26,11.00,27.27
27,17.00,29.41
28,5.00,20.00
29,23.00,60.87
30,2.00,50.00
31,28.00,57.14
32,2.00,0.00
33,24.00,29.17
34,7.00,100.00
35,19.00,68.42
36,7.00,14.29
37,5.00,100.00
38,24.00,45.83
39,15.00,0.00
40,10.00,60.00
41,18.00,77.78
42,14.00,28.57
43,21.00,90.48
44,52.00,90.38
45,1.00,100.00
46,26.00,65.38
47,2.00,0.00
48,23.00,52.17
49,3.00,33.33
50,26.00,53.85
51,6.00,33.33
52,23.00,65.22
53,4.00,0.00
54,28.00,53.57
55,18.00,16.67
56,8.00,50.00
57,22.00,59.09
58,12.00,16.67
59,30.00,46.67
60,17.00,0.00
