experiment,users,duration_s,successful,failed,total,throughput_rps,dropout_percent,p50_ms,p95_ms,p99_ms
stress_monitored,50,120.0,8886,0,8886,74.04,0.00,27.71,80.65,112.20
baseline_test,50,30.5,172,1489,1661,5.64,89.64,185.26,656.21,776.73
baseline_test_v2,50,30.1,2535,0,2535,84.32,0.00,25.78,158.81,368.24
high_load_200u,200,60.8,7449,2716,10165,122.47,26.72,408.53,825.57,1035.57
ramp_500u,500,90.4,2907,26891,29798,32.17,90.24,591.58,1892.47,2374.99
high_load_200u_v2,200,64.6,6609,5,6614,102.26,0.08,458.10,1781.02,2642.55
ramp_500u_v2,500,92.5,3535,16393,19928,38.22,82.26,1513.29,3128.83,3723.28
ramp_500u_v2,500,90.5,6510,30203,36713,71.93,82.27,120.78,1300.78,1960.19
ramp_500u_v2,500,92.8,1943,42138,44081,20.93,95.59,693.92,1810.67,2391.65
ramp_500u_v2,500,90.4,4659,45455,50114,51.54,90.70,228.19,1878.19,2455.33
ramp_500u_v2,500,92.2,2559,27348,29907,27.76,91.44,2190.51,4325.50,4873.14
ramp_500u_v2,500,90.8,6193,26600,32793,68.23,81.11,909.35,2515.81,2986.99
ramp_500u_v2,500,90.0,6362,23063,29425,70.68,78.38,570.62,2114.64,2582.66
