second,rps,err_rate
1,4.00,0.00
2,7.00,0.00
3,7.00,0.00
4,15.00,0.00
5,12.00,0.00
6,18.00,0.00
7,20.00,0.00
8,21.00,0.00
9,22.00,0.00
10,23.00,0.00
11,35.00,0.00
12,35.00,0.00
13,34.00,0.00
14,40.00,0.00
15,39.00,0.00
16,41.00,0.00
17,50.00,0.00
18,52.00,0.00
19,57.00,0.00
20,55.00,0.00
21,53.00,0.00
22,64.00,0.00
23,61.00,0.00
24,63.00,0.00
25,72.00,0.00
26,72.00,0.00
27,76.00,0.00
28,72.00,0.00
29,80.00,0.00
30,94.00,0.00
31,87.00,0.00
32,68.00,0.00
33,78.00,0.00
34,90.00,0.00
35,74.00,0.00
36,81.00,0.00
37,91.00,0.00
38,85.00,0.00
39,89.00,0.00
40,84.00,0.00
41,89.00,0.00
42,97.00,0.00
43,85.00,0.00
44,69.00,0.00
45,63.00,0.00
46,65.00,0.00
47,72.00,0.00
48,72.00,0.00
49,64.00,0.00
50,75.00,0.00
51,61.00,0.00
52,75.00,0.00
53,64.00,0.00
54,63.00,0.00
55,86.00,0.00
56,81.00,0.00
57,74.00,0.00
58,82.00,0.00
59,76.00,0.00
60,65.00,0.00
61,64.00,0.00
62,72.00,0.00
63,63.00,0.00
64,61.00,0.00
65,52.00,0.00
66,73.00,0.00
67,70.00,0.00
68,66.00,0.00
69,72.00,0.00
70,76.00,0.00
71,78.00,0.00
72,78.00,0.00
73,77.00,0.00
74,41.00,0.00
75,41.00,0.00
76,62.00,0.00
77,52.00,0.00
78,46.00,0.00
79,52.00,0.00
80,54.00,1.85
81,44.00,0.00
82,66.00,0.00
83,62.00,1.61
84,81.00,0.00
85,69.00,0.00
86,73.00,0.00
87,57.00,0.00
88,56.00,0.00
89,39.00,0.00
90,38.00,0.00
91,56.00,0.00
92,44.00,0.00
93,64.00,0.00
94,54.00,0.00
95,47.00,0.00
96,42.00,0.00
97,54.00,0.00
98,61.00,0.00
99,75.00,0.00
100,48.00,0.00
101,59.00,0.00
102,36.00,0.00
103,26.00,0.00
104,32.00,0.00
105,71.00,0.00
106,53.00,0.00
107,41.00,0.00
108,41.00,0.00
109,35.00,0.00
110,38.00,0.00
111,47.00,0.00
112,72.00,0.00
113,54.00,0.00
114,53.00,0.00
115,45.00,0.00
116,36.00,0.00
117,40.00,0.00
118,49.00,0.00
119,47.00,0.00
