second,rps,err_rate
1,3.00,0.00
2,6.00,0.00
3,7.00,0.00
4,4.00,0.00
5,6.00,0.00
6,12.00,0.00
7,2.00,0.00
8,10.00,30.00
9,16.00,18.75
10,11.00,0.00
11,21.00,0.00
12,8.00,0.00
13,22.00,50.00
14,26.00,11.54
15,1.00,0.00
16,32.00,71.88
17,5.00,20.00
18,22.00,63.64
19,14.00,50.00
20,14.00,71.43
21,3.00,0.00
22,33.00,75.76
23,13.00,53.85
24,41.00,70.73
25,30.00,70.00
26,8.00,0.00
27,33.00,96.97
28,18.00,61.11
29,27.00,66.67
30,25.00,76.00
31,22.00,100.00
32,32.00,90.62
33,28.00,96.43
34,23.00,56.52
35,38.00,65.79
36,29.00,58.62
37,32.00,75.00
38,45.00,91.11
39,74.00,81.08
40,12.00,0.00
41,24.00,70.83
42,86.00,89.53
43,16.00,0.00
44,36.00,47.22
45,23.00,82.61
46,25.00,56.00
47,34.00,79.41
48,15.00,93.33
49,44.00,84.09
50,5.00,60.00
51,52.00,86.54
52,4.00,100.00
53,58.00,72.41
54,12.00,25.00
55,45.00,84.44
56,68.00,95.59
57,33.00,93.94
58,14.00,92.86
59,45.00,77.78
60,5.00,80.00
61,77.00,100.00
62,40.00,82.50
63,6.00,66.67
64,53.00,84.91
65,5.00,40.00
66,47.00,93.62
67,15.00,53.33
68,33.00,90.91
69,19.00,78.95
70,30.00,83.33
71,22.00,77.27
72,26.00,92.31
73,16.00,81.25
74,8.00,100.00
75,49.00,83.67
76,5.00,100.00
77,57.00,96.49
78,3.00,66.67
79,50.00,86.00
80,7.00,85.71
81,39.00,53.85
82,77.00,100.00
83,43.00,93.02
84,12.00,25.00
85,40.00,97.50
86,21.00,47.62
87,46.00,100.00
88,37.00,100.00
89,9.00,55.56
90,54.00,70.37
91,19.00,26.32
92,22.00,90.91
93,30.00,93.33
94,39.00,100.00
95,80.00,93.75
96,16.00,0.00
97,38.00,63.16
98,38.00,89.47
99,22.00,77.27
100,27.00,70.37
101,25.00,100.00
102,28.00,100.00
103,23.00,78.26
104,26.00,88.46
105,33.00,75.76
106,25.00,64.00
107,48.00,70.83
108,9.00,11.11
109,37.00,86.49
110,15.00,80.00
111,30.00,83.33
112,12.00,100.00
113,30.00,96.67
114,22.00,100.00
115,28.00,92.86
116,26.00,84.62
117,27.00,96.30
118,17.00,88.24
119,24.00,83.33
120,33.00,24.24
