second,rps,err_rate
1,3.00,0.00
2,7.00,0.00
3,13.00,0.00
4,11.00,0.00
5,16.00,0.00
6,17.00,0.00
7,23.00,0.00
8,23.00,0.00
9,22.00,0.00
10,30.00,0.00
11,31.00,0.00
12,32.00,0.00
13,38.00,0.00
14,47.00,0.00
15,40.00,0.00
16,48.00,0.00
17,48.00,0.00
18,52.00,0.00
19,58.00,0.00
20,58.00,0.00
21,61.00,0.00
22,64.00,0.00
23,64.00,0.00
24,77.00,0.00
25,73.00,0.00
26,67.00,0.00
27,76.00,0.00
28,82.00,0.00
29,80.00,0.00
30,81.00,0.00
31,79.00,0.00
32,85.00,0.00
33,83.00,0.00
34,89.00,0.00
35,89.00,0.00
36,91.00,0.00
37,87.00,0.00
38,92.00,0.00
39,90.00,0.00
40,85.00,0.00
41,80.00,0.00
42,87.00,0.00
43,87.00,0.00
44,79.00,0.00
45,90.00,0.00
46,85.00,0.00
47,88.00,0.00
48,80.00,0.00
49,79.00,0.00
50,78.00,0.00
51,76.00,0.00
52,82.00,0.00
53,87.00,0.00
54,82.00,0.00
55,81.00,0.00
56,75.00,0.00
57,82.00,0.00
58,78.00,0.00
59,95.00,0.00
60,84.00,0.00
61,83.00,0.00
62,87.00,0.00
63,76.00,0.00
64,82.00,0.00
65,77.00,0.00
66,77.00,0.00
67,77.00,0.00
68,72.00,0.00
69,80.00,0.00
70,68.00,0.00
71,82.00,0.00
72,76.00,0.00
73,73.00,0.00
74,84.00,0.00
75,65.00,0.00
76,77.00,0.00
77,84.00,0.00
78,93.00,0.00
79,89.00,0.00
80,84.00,0.00
81,79.00,0.00
82,90.00,0.00
83,88.00,0.00
84,75.00,0.00
85,73.00,0.00
86,80.00,0.00
87,86.00,0.00
88,86.00,0.00
89,81.00,0.00
90,88.00,0.00
91,90.00,0.00
92,87.00,0.00
93,84.00,0.00
94,96.00,0.00
95,82.00,0.00
96,87.00,0.00
97,91.00,0.00
98,90.00,0.00
99,92.00,0.00
100,87.00,0.00
101,86.00,0.00
102,84.00,0.00
103,83.00,0.00
104,94.00,0.00
105,76.00,0.00
106,75.00,0.00
107,94.00,0.00
108,81.00,0.00
109,81.00,0.00
110,92.00,0.00
111,85.00,0.00
112,91.00,0.00
113,82.00,0.00
114,84.00,0.00
115,86.00,0.00
116,89.00,0.00
117,86.00,0.00
118,81.00,0.00
119,94.00,0.00
120,94.00,0.00
